date,stars,forks,watchers,open_issues,total_downloads,latest_release,latest_downloads,clones_14d,unique_clones_14d,views_14d,unique_views_14d,per_release_json
2026-06-16,0,0,0,3,0,none,0,0,0,0,0,{}
2026-06-22,0,0,0,3,0,none,0,0,0,0,0,{}
2026-06-29,0,0,0,3,0,none,0,0,0,0,0,{}
2026-07-06,0,0,0,2,0,none,0,0,0,0,0,{}
2026-07-13,0,0,0,2,0,none,0,0,0,0,0,{}
2026-07-20,0,0,0,2,0,none,0,0,0,0,0,{}
2026-07-27,0,0,0,2,0,none,0,0,0,0,0,{}
2026-08-03,0,0,0,2,0,none,0,0,0,0,0,{}
2026-08-10,0,0,0,2,0,none,0,0,0,0,0,{}
2026-08-17,0,0,0,2,0,none,0,0,0,0,0,{}
2026-08-24,0,0,0,2,0,none,0,0,0,0,0,{}
